@iot.id,@iot.selfLink,HistoricalLocations@iot.navigationLink,Locations@iot.navigationLink,Datastreams@iot.navigationLink,name,description,properties
1,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(1),https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(1)/HistoricalLocations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(1)/Locations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(1)/Datastreams,柏原自治会館,風向風速/温度/湿度/雨,
2,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(2),https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(2)/HistoricalLocations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(2)/Locations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(2)/Datastreams,丹波市役所,風向風速/温度/湿度/雨/現地気圧/海面気圧/日射/日照,
3,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(3),https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(3)/HistoricalLocations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(3)/Locations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(3)/Datastreams,南小学校,雨,
4,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(4),https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(4)/HistoricalLocations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(4)/Locations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(4)/Datastreams,北小学校,雨,
5,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(5),https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(5)/HistoricalLocations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(5)/Locations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(5)/Datastreams,青垣支所,風向風速/温度/湿度/雨,
6,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(6),https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(6)/HistoricalLocations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(6)/Locations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(6)/Datastreams,神楽の郷交流センター,雨,
7,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(7),https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(7)/HistoricalLocations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(7)/Locations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(7)/Datastreams,やまびこセンター萬歳山,雨,
8,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(8),https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(8)/HistoricalLocations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(8)/Locations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(8)/Datastreams,はるべの郷春日部荘,風向風速/温度/湿度/雨,
9,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(9),https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(9)/HistoricalLocations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(9)/Locations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(9)/Datastreams,三尾荘,雨,
10,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(10),https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(10)/HistoricalLocations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(10)/Locations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(10)/Datastreams,ふなき荘,雨,
11,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(11),https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(11)/HistoricalLocations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(11)/Locations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(11)/Datastreams,上久下小学校,雨,
12,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(12),https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(12)/HistoricalLocations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(12)/Locations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(12)/Datastreams,山南支所,風向風速/温度/湿度/雨,
13,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(13),https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(13)/HistoricalLocations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(13)/Locations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(13)/Datastreams,和田地域づくりセンター,雨,
14,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(14),https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(14)/HistoricalLocations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(14)/Locations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(14)/Datastreams,竹田小学校,雨,
15,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(15),https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(15)/HistoricalLocations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(15)/Locations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(15)/Datastreams,市島支所,風向風速/温度/湿度/雨,
16,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(16),https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(16)/HistoricalLocations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(16)/Locations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(16)/Datastreams,鴨庄小学校,雨,
17,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(17),https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(17)/HistoricalLocations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(17)/Locations,https://www1.city.tamba.lg.jp/ja/api/v1.0/Things(17)/Datastreams,三輪小学校,雨,
